codigo_cid,capitulo_cid
B90,Moléstias Infecciosas
B900,Moléstias Infecciosas
B901,Moléstias Infecciosas
B902,Moléstias Infecciosas
B908,Moléstias Infecciosas
B909,Moléstias Infecciosas
B91,Moléstias Infecciosas
B92,Moléstias Infecciosas
B94,Moléstias Infecciosas
B940,Moléstias Infecciosas
B941,Moléstias Infecciosas
B942,Moléstias Infecciosas
B948,Moléstias Infecciosas
B949,Moléstias Infecciosas
B95,Moléstias Infecciosas
B950,Moléstias Infecciosas
B951,Moléstias Infecciosas
B952,Moléstias Infecciosas
B953,Moléstias Infecciosas
B954,Moléstias Infecciosas
B955,Moléstias Infecciosas
B956,Moléstias Infecciosas
B957,Moléstias Infecciosas
B958,Moléstias Infecciosas
B96,Moléstias Infecciosas
B960,Moléstias Infecciosas
B961,Moléstias Infecciosas
B962,Moléstias Infecciosas
B963,Moléstias Infecciosas
B964,Moléstias Infecciosas
B965,Moléstias Infecciosas
B966,Moléstias Infecciosas
B967,Moléstias Infecciosas
B968,Moléstias Infecciosas
B97,Moléstias Infecciosas
B970,Moléstias Infecciosas
B971,Moléstias Infecciosas
B972,Moléstias Infecciosas
B973,Moléstias Infecciosas
B974,Moléstias Infecciosas
B975,Moléstias Infecciosas
B976,Moléstias Infecciosas
B977,Moléstias Infecciosas
B978,Moléstias Infecciosas
B99,Moléstias Infecciosas
C00,Neoplasias
C000,Neoplasias
C001,Neoplasias
C002,Neoplasias
C003,Neoplasias
C004,Neoplasias
C005,Neoplasias
C006,Neoplasias
C008,Neoplasias
C009,Neoplasias
C01,Neoplasias
C02,Neoplasias
C020,Neoplasias
C021,Neoplasias
C022,Neoplasias
C023,Neoplasias
C024,Neoplasias
C028,Neoplasias
C029,Neoplasias
C03,Neoplasias
C030,Neoplasias
C031,Neoplasias
C039,Neoplasias
C04,Neoplasias
C040,Neoplasias
C041,Neoplasias
C048,Neoplasias
C049,Neoplasias
